Speed,Vertical_Acceleration,Lateral_Acceleration,Longitudinal_Acceleration,Roll,Pitch,Yaw,Status
88.3,-0.034,-0.005,0.005,-1.565,-0.033,1.853,1
88.5,-0.106,0.035,-0.005,-1.575,0.017,0.273,1
125.8,0.018,-0.006,0.026,-1.57,-0.017,-3.074,2
89,0.003,-0.012,0.007,-1.591,0.021,-1.837,2
90,-0.015,-0.026,0.01,-1.509,-0.087,-2.374,2
97.7,-0.016,0.006,-0.002,-1.55,-0.014,-0.083,2
97,0.01,0.007,0.002,-1.62,0.011,-0.43,1
109,0,0.008,-0.01,-1.527,-0.023,1.716,2
73.9,0.005,-0.002,0.04,-1.514,-0.002,-2.881,1
87,-0.001,-0.019,0.01,-1.559,-0.026,1.815,1
87.3,-0.012,-0.002,0,-1.543,-0.015,0.783,1
86.3,-0.027,-0.044,-0.009,-1.571,-0.01,-3.022,2
79.5,-0.026,0.004,-0.02,-1.514,-0.056,-1.683,2
114.8,-0.008,0.004,0.009,-1.596,0.001,-1.383,1
112.4,0.012,-0.022,-0.015,-1.558,0.015,0.038,2
90.1,0.019,-0.014,-0.028,-1.538,0.009,-0.003,2
102.5,-0.025,-0.005,-0.001,-1.552,-0.018,-3.029,2
111.1,0.004,0.058,0.016,-1.638,0.017,1.868,2
93.3,-0.013,-0.004,0.003,-1.56,-0.018,-0.057,2
100.4,-0.098,0.069,-0.089,-1.626,0.041,1.894,2
98.5,-0.072,0,-0.02,-1.569,0.046,-2.139,1
88.5,0.021,0.004,-0.012,-1.571,-0.034,1.832,1
97.6,-0.045,0.006,-0.035,-1.544,0.006,0.058,1
97.8,0.013,-0.015,0.003,-1.565,0.038,0.233,2
82.5,-0.037,0,0.023,-1.567,-0.025,2.867,2
87.8,-0.001,0.005,-0.027,-1.548,-0.005,-0.052,2
108.9,-0.025,0.011,-0.033,-1.537,-0.026,2.43,1
89.5,0.004,-0.006,-0.012,-1.495,-0.072,-1.064,1
90.7,0.01,0.006,-0.036,-1.583,0.034,-0.932,1
81,-0.035,0.01,-0.024,-1.563,-0.011,2.899,2
108.3,-0.014,0.006,-0.032,-1.544,0.021,2.449,1
91.4,-0.026,-0.017,-0.045,-1.639,-0.012,-2.546,2
119.3,-0.06,0.02,0.016,-1.532,0.112,-1.539,2
99.5,-0.025,0,-0.02,-1.556,0.021,-3.022,2
78.2,0.021,0.012,-0.01,-1.526,0.015,-0.98,1
77.5,0,-0.008,0.03,-1.634,0.016,0.15,2
85.2,0.016,0.033,0.015,-1.568,-0.003,-0.195,2
84.3,-0.01,-0.028,0.007,-1.546,-0.038,1.205,1
84,0.009,-0.018,0.013,-1.521,0.007,0.364,2
87.2,0.008,0,0.009,-1.56,-0.03,1.772,1
91.8,-0.003,0.008,-0.014,-1.534,-0.016,1.159,1
113.7,-0.008,0.022,-0.01,-1.598,-0.042,-2.842,1
76.3,-0.106,-0.058,-0.169,-1.707,-0.328,-0.972,2
105.3,0.013,0.044,-0.004,-1.497,-0.018,-1.746,2
84.5,-0.005,-0.008,-0.02,-1.542,0.015,3.044,2
94,-0.017,0.02,0,-1.57,-0.015,-2.538,1
130,-0.02,-0.025,-0.03,-1.562,0.017,-3.051,2
124.8,0.001,0.01,-0.022,-1.577,0.01,-3.044,2
89.3,0.013,0.002,-0.004,-1.572,-0.034,-0.221,2
120.9,0.015,-0.034,-0.022,-1.609,0.07,0.384,2
91.2,-0.006,0.058,0,-1.594,0.044,0.749,1
92.8,-0.006,0.015,-0.071,-1.435,-0.007,2.57,2
86.1,-0.016,-0.047,0,-1.588,0.014,-0.202,2
72.6,-0.051,0,0.007,-1.514,0.004,1.379,1
110.7,-0.045,-0.012,0.015,-1.527,0.029,-0.143,2
114.9,0.024,0.006,-0.046,-1.553,0.03,0.156,2
85.3,0.003,-0.011,0.026,-1.565,-0.026,-0.292,1
116.4,-0.018,-0.01,0,-1.588,-0.01,0.052,2
103.4,0.009,-0.017,0.007,-1.615,0.03,0.453,2
115.5,0.004,-0.008,-0.001,-1.56,-0.039,0.429,2
131.7,-0.001,0.042,0.03,-1.518,-0.012,-2.073,2
84.6,-0.037,-0.003,-0.006,-1.58,-0.036,-0.149,1
129.3,-0.022,-0.022,-0.05,-1.583,-0.012,2.03,2
138.6,-0.005,0.023,-0.031,-1.579,-0.016,-2.481,2
86.7,0.025,0.01,0.042,-1.533,0.033,-0.018,2
130.5,0.008,-0.004,0.01,-1.543,0.033,2.749,2
87.9,0.033,0.006,-0.001,-1.484,-0.015,-0.202,1
112.7,-0.018,0.037,-0.006,-1.543,0.005,-1.299,1
119.3,-0.008,0.001,0.07,-1.564,0.033,0.134,2
74,-0.004,-0.042,0.002,-1.542,0.028,-1.215,2
92.9,-0.009,0.06,0,-1.502,-0.018,1.606,2
104.7,0.01,0.015,0.014,-1.603,-0.025,0.106,1
95.2,-0.018,0.02,-0.023,-1.507,-0.089,-1.002,1
89.5,-0.052,-0.07,-0.027,-1.562,0.019,0.542,2
84.6,-0.087,-0.042,-0.025,-1.628,-0.027,-3.102,2
84.8,0.001,-0.007,-0.004,-1.557,0.014,2.912,2
101.4,0.007,-0.008,-0.032,-1.609,-0.023,-2.499,2
90.4,-0.012,0.03,0.019,-1.551,0.009,-0.987,1
96.9,-0.041,0.028,0.009,-1.543,-0.013,-3.129,2
91.8,-0.005,0.001,-0.017,-1.536,0.053,0.477,2
72,-0.018,-0.007,0.001,-1.516,-0.018,-1.328,2
103.8,-0.021,-0.004,-0.007,-1.559,0.019,0.105,1
80.3,-0.009,-0.012,-0.005,-1.568,0.015,-0.123,2
82.4,0.025,0.008,0.01,-1.57,0.006,1.562,2
87.4,-0.019,0.007,-0.018,-1.552,-0.032,1.773,1
86.4,-0.084,-0.064,0.001,-1.61,0.317,1.069,2
82.1,-0.023,-0.032,0.052,-1.588,-0.026,-2.738,1
102.4,-0.038,0.004,0.015,-1.562,-0.005,-2.655,1
123.7,-0.007,0.006,0.007,-1.533,-0.012,-2.405,2
94,-0.032,0.007,-0.013,-1.608,-0.094,0.022,1
111,-0.021,0.036,-0.001,-1.519,-0.007,2.464,1
80,-0.018,0.001,-0.006,-1.585,-0.031,-0.929,2
85,0.002,0.006,0.007,-1.553,-0.024,0.676,1
109.7,-0.022,0.001,-0.009,-1.536,0.03,-1.45,1
50.4,0.002,-0.026,-0.003,-1.604,0.01,-3.138,2
85,-0.004,-0.001,0.007,-1.56,-0.049,-0.833,1
82.1,-0.011,0.008,0.008,-1.569,-0.022,1.952,2
78.3,-0.024,0.047,-0.02,-1.557,-0.038,2.029,2
92,-0.039,-0.011,0.002,-1.544,0.001,-1.515,1
138.1,-0.009,-0.004,0.007,-1.529,-0.005,0.307,2
77.5,-0.019,0.012,-0.033,-1.521,-0.034,-1.292,1
96.9,-0.015,-0.001,-0.003,-1.5,-0.033,1.658,2
102.2,-0.018,0.043,0.022,-1.558,-0.023,-2.748,1
95.1,-0.018,-0.02,0,-1.547,-0.017,1.371,1
57.9,-0.017,0.001,0.024,-1.482,0.004,-1.476,1
84.2,0.023,-0.01,-0.001,-1.583,-0.026,1.388,2
91,-0.011,-0.025,0.013,-1.581,-0.017,0.9,1
97.3,0.022,-0.006,0.001,-1.539,0.023,-0.639,1
101.5,-0.033,0.008,0.023,-1.578,0.026,0.149,2
89.4,0.019,-0.035,-0.017,-1.516,-0.005,-1.3,2
85.7,0.003,-0.012,0.009,-1.51,-0.029,1.945,1
88.6,-0.017,0.005,-0.028,-1.593,0.017,1.812,2
90.8,0.007,-0.006,0.025,-1.587,-0.019,-2.809,1
89.2,0.008,0.004,-0.011,-1.573,-0.014,0.068,2
100.5,-0.021,0.094,0.022,-1.606,0.083,-1.821,2
102,-0.004,-0.027,0.011,-1.637,-0.008,1.678,2
95.1,-0.039,0.01,-0.016,-1.56,-0.033,0.706,1
75.7,0.004,-0.019,0.015,-1.557,-0.021,-1.669,2
123.4,-0.007,0.022,-0.021,-1.545,0.017,2.68,1
98.3,-0.033,0.016,0.005,-1.519,0,0.765,1
96.4,-0.019,0.006,-0.016,-1.568,-0.002,-2.735,1
100.5,-0.019,0.032,0.018,-1.573,-0.02,-2.816,1
86.6,-0.012,-0.001,-0.005,-1.551,-0.016,-2.779,1
85.6,-0.028,0.008,-0.006,-1.54,0.014,0.052,1
73,-0.017,0.01,0.007,-1.584,0.012,2.955,2
83.8,-0.006,-0.012,0.018,-1.59,0.044,0.342,1
81.6,-0.021,-0.016,-0.011,-1.638,-0.006,-0.235,2
88.3,-0.02,0.058,-0.019,-1.613,-0.067,0.055,1
87.7,0.013,-0.049,-0.022,-1.558,0.006,-0.002,1
93.3,-0.004,0.057,-0.013,-1.558,-0.013,-1.3,2
87.7,0.001,-0.018,0.054,-1.45,0.017,0.055,2
131.4,0.011,-0.001,-0.001,-1.504,-0.063,-2.563,2
86.6,0.007,-0.023,0.002,-1.567,-0.052,1.787,1
46.5,-0.01,0.021,0.023,-1.654,-0.008,-2.897,1
108.9,-0.025,-0.045,-0.016,-1.652,-0.04,-2.56,2
96.2,0.012,0.009,-0.015,-1.529,0.012,-0.639,1
80.3,-0.015,0.01,-0.011,-1.581,-0.02,-0.667,1
89.7,-0.04,-0.027,-0.017,-1.567,0.028,-2.85,2
84.2,-0.015,0.014,-0.016,-1.496,0.019,-0.599,1
71.7,-0.009,0.018,0.018,-1.513,0.007,-1.145,2
95,-0.021,-0.02,0.016,-1.555,-0.033,-2.56,1
93.3,-0.065,0.026,-0.011,-1.534,0.011,0.17,2
81.4,-0.009,-0.03,-0.005,-1.535,-0.04,1.133,2
104.5,-0.03,0.009,-0.018,-1.596,-0.012,0.013,1
90.1,-0.022,-0.003,-0.03,-1.583,-0.063,-0.025,1
114.9,-0.023,0.005,-0.003,-1.562,-0.038,-1.434,1
98.7,0.001,0.015,-0.003,-1.572,-0.021,0.048,1
90.6,-0.011,-0.019,0.033,-1.512,-0.029,-2.247,2
92.1,-0.031,0.006,0.04,-1.552,0.029,-0.195,2
113.9,-0.063,0.016,0.045,-1.512,0.028,-0.839,2
75.2,0.008,-0.001,-0.004,-1.607,0.004,0.01,1
68.7,-0.034,-0.025,-0.033,-1.542,-0.045,0.01,2
94.6,-0.037,-0.017,-0.019,-1.601,-0.055,-1.132,2
93.6,-0.025,-0.016,-0.03,-1.579,-0.018,-1.791,1
85.6,-0.017,-0.002,-0.003,-1.535,-0.034,-2.841,1
97.2,-0.035,0.028,-0.03,-1.55,-0.032,0.131,1
108,-0.002,0.036,-0.029,-1.528,0.04,-1.649,2
90.8,-0.002,-0.044,0.062,-1.575,-0.031,-2.439,2
92.8,0.01,-0.006,0.005,-1.553,-0.044,0.486,2
82.4,0.049,-0.013,0.015,-1.508,-0.035,-0.089,1
87,0.013,0.012,0.05,-1.568,0.001,0.479,2
82.3,-0.054,0.013,-0.04,-1.561,0.004,0.171,2
90.8,0.022,0.022,-0.011,-1.498,0.047,-0.922,1
81,-0.013,-0.004,0.004,-1.597,-0.035,-0.594,1
84.9,-0.01,0,-0.015,-1.577,-0.029,1.094,2
108.2,0.021,-0.02,-0.011,-1.633,-0.018,-2.502,2
70.7,0.013,-0.022,-0.004,-1.517,0.026,-1.413,1
75,0.005,0.026,0.004,-1.548,0.022,-1.207,2
88.5,-0.036,-0.003,0,-1.608,0.003,0.105,1
93,-0.002,-0.008,-0.022,-1.557,0.033,-2.893,2
105.2,-0.01,0.045,-0.019,-1.503,-0.035,-1.835,2
87.4,-0.032,0.045,-0.016,-1.572,0.016,-0.264,2
96.3,0.015,-0.023,-0.019,-1.534,-0.02,0.786,1
85.5,-0.041,0.02,-0.011,-1.579,-0.051,-0.36,2
91.7,-0.023,0.015,0.003,-1.514,-0.022,1.494,2
132.8,-0.004,0.029,-0.018,-1.592,0.061,2.93,2
0,0.013,0.008,0.007,-1.661,-0.019,0.015,2
102.6,-0.045,0.014,-0.001,-1.435,0,2.797,2
93.5,-0.033,0,-0.005,-1.572,0.018,-3.005,2
92.6,0.013,0.025,0.007,-1.566,-0.009,0.105,1
114.3,-0.011,0.001,-0.005,-1.584,0.003,0.125,2
78.2,-0.019,0.014,0.041,-1.459,-0.045,-1.809,2
89.1,0.004,0.003,-0.013,-1.534,0.019,0.043,1
79.5,0.02,0.017,-0.006,-1.597,-0.012,0.261,1
89.6,-0.019,0.005,-0.004,-1.538,0.02,0.041,1
89.9,-0.007,0.015,-0.002,-1.543,0.028,0.31,1
62.4,-0.014,-0.02,-0.059,-1.459,-0.01,-1.451,1
104.8,-0.002,-0.028,-0.038,-1.559,0.042,1.877,2
91.8,-0.027,0.03,-0.014,-1.606,0.043,0.173,2
87.8,-0.009,0.043,-0.058,-1.548,-0.012,-1.29,2
94.1,0.032,-0.016,0.048,-1.546,-0.017,-3.07,2
93,-0.013,-0.04,0.016,-1.587,-0.039,-2.851,1
126.2,0,-0.003,0.022,-1.65,-0.052,2.463,2
88.7,-0.035,0,0.024,-1.502,-0.024,0.906,1
105.4,-0.002,0.007,-0.008,-1.599,-0.018,-1.197,2
109.9,-0.019,-0.025,0.005,-1.583,0.017,0.013,2
86.1,-0.014,0.02,-0.04,-1.593,-0.007,-0.897,2
105.3,-0.018,-0.019,0.025,-1.562,-0.036,-2.727,1
110.2,-0.014,-0.009,-0.01,-1.577,0.029,1.845,1
86.8,-0.014,0.016,0.007,-1.557,-0.013,-2.426,2
87.9,-0.01,0.004,0.016,-1.483,0.022,0.462,1
91.7,-0.013,-0.02,-0.067,-1.56,-0.038,-0.03,1
87.2,-0.009,0.065,-0.014,-1.506,0.012,1.457,2
76.4,-0.022,0.013,0,-1.534,0.026,-1.464,2
133.4,-0.031,-0.025,-0.063,-1.576,-0.034,2.461,2
100.7,-0.012,-0.013,-0.004,-1.59,-0.035,-0.115,2
87.9,-0.017,-0.017,0.057,-1.444,-0.005,0.135,2
90.9,-0.007,0.006,0,-1.523,0.029,0.189,1
80.9,-0.057,0.019,0.004,-1.68,0.016,-1.087,1
94.1,-0.006,0.022,-0.005,-1.544,-0.014,2.444,1
82.1,-0.028,0.008,-0.041,-1.534,-0.011,-0.84,1
109.8,-0.004,0.008,-0.012,-1.55,0.028,-1.221,1
91.1,0.011,0.001,0.01,-1.606,0.019,-1.071,2
88.8,0.01,0.014,-0.009,-1.523,0.02,0.492,1
87.5,0.006,0.01,0.003,-1.601,-0.001,0.104,1
103.6,-0.033,0.018,-0.017,-1.504,-0.057,1.305,2
106.6,-0.024,-0.01,-0.004,-1.541,0.012,-2.799,1
114.1,-0.006,0.016,-0.015,-1.522,-0.04,-1.458,1
78.9,-0.015,0.005,-0.022,-1.583,-0.007,-0.151,1
118.3,-0.091,-0.027,-0.026,-1.548,-0.025,1.765,2
99.1,-0.031,0.007,-0.035,-1.55,-0.05,-2.867,1
98.9,-0.031,0.005,-0.007,-1.518,0,1.553,2
84.8,0.002,0.008,0.012,-1.57,-0.021,-3.012,2
86.7,-0.016,0.04,-0.008,-1.576,-0.014,1.673,1
78.4,-0.028,0.006,-0.004,-1.555,-0.043,-0.931,2
76.2,-0.003,-0.014,-0.01,-1.666,-0.009,2.606,2
83.8,-0.009,-0.024,0.004,-1.562,0.008,1.692,2
97.8,0.009,-0.035,0.016,-1.546,-0.024,-2.861,2
120,-0.022,-0.075,-0.027,-1.53,-0.047,-2.539,2
102.8,-0.037,-0.024,0.003,-1.564,0.027,2.566,2
102.4,0.018,-0.015,-0.013,-1.559,0.006,-2.658,1
73.9,0,0.005,0.013,-1.55,-0.014,3.099,2
88.6,-0.039,-0.004,-0.004,-1.55,0.039,-0.932,1
78.7,-0.017,-0.004,0.047,-1.551,-0.009,-0.833,1
102.7,-0.043,0.008,-0.015,-1.634,0.022,-1.439,2
118.4,-0.014,0.015,-0.01,-1.502,-0.044,-0.158,2
82.6,-0.044,-0.068,-0.022,-1.488,0.004,-0.958,2
93.7,0.007,0.032,-0.04,-1.499,0,1.596,2
104.6,0.005,-0.03,-0.006,-1.524,-0.015,2.017,2
127.3,0.001,-0.02,0.002,-1.555,-0.079,0.296,2
92.5,-0.003,-0.003,-0.005,-1.572,0.003,0.169,1
83.8,0.007,-0.042,0.067,-1.547,0.002,-1.287,2
84.4,-0.015,-0.006,0.047,-1.554,-0.017,-0.053,1
55.3,0.014,0.028,-0.065,-1.603,0.259,0.573,2
104.6,-0.037,0,0.008,-1.569,0.011,-3.031,2
116.2,-0.004,0.011,0.017,-1.555,-0.006,1.881,1
90,-0.02,0,-0.012,-1.56,0.003,-2.921,2
75.8,-0.042,0.006,0.048,-1.499,-0.011,0.279,2
78.4,-0.028,-0.06,-0.016,-1.62,-0.023,0.012,2
95.9,-0.002,0.036,0.006,-1.497,-0.019,1.595,2
82,-0.006,-0.01,0.008,-1.545,-0.018,-1.485,1
132,-0.065,-0.089,-0.035,-1.57,-0.04,-2.978,2
112,-0.011,-0.019,0.003,-1.558,-0.025,2.284,1
91.2,-0.004,-0.008,-0.004,-1.501,-0.085,-1.054,1
92.4,-0.026,-0.017,-0.029,-1.513,-0.063,-1.195,2
103.9,-0.024,-0.002,0.021,-1.557,0.019,-2.769,1
83.7,0.004,0.008,0.008,-1.568,0.002,0.044,1
105,0.004,-0.049,-0.063,-1.59,-0.03,-2.492,2
105.5,-0.005,0.002,-0.011,-1.527,0.034,2.828,2
104.6,-0.027,-0.015,-0.003,-1.554,-0.059,-1.405,2
79.5,-0.022,-0.014,-0.023,-1.569,0.021,-2.816,1
80.7,-0.003,-0.018,-0.005,-1.558,0.007,1.786,1
87.7,-0.012,-0.006,0.013,-1.543,-0.04,-0.72,1
68.4,0.022,0.17,0.015,-1.653,0.118,-2.397,2
87.4,-0.012,0.008,-0.042,-1.538,0.03,-2.623,2
80,-0.045,-0.076,0.006,-1.547,0.04,2.984,2
100.4,0.014,0.003,0.051,-1.54,-0.027,0.04,1
85.2,-0.1,-0.402,-0.017,-1.616,-0.407,-0.405,2
81.7,-0.033,0,0.008,-1.543,-0.024,2.984,2
90.6,0.017,0.031,0.011,-1.547,-0.019,-2.877,2
81.3,-0.008,-0.034,0.01,-1.605,-0.048,-0.219,2
83.8,-0.042,0.007,-0.02,-1.55,0.023,-3.035,2
80.2,-0.02,-0.002,-0.025,-1.528,-0.047,-1.665,2
95.7,-0.01,-0.014,-0.003,-1.487,-0.01,1.236,2
85.5,0.011,-0.001,0.002,-1.586,-0.015,-2.718,2
88.1,-0.037,0.012,0.017,-1.567,0,-2.771,2
87.2,-0.035,0.009,0.01,-1.516,-0.008,0.898,1
118,-0.022,0.032,0.016,-1.649,0.021,2.808,2
89.7,-0.023,-0.002,0.01,-1.56,0.01,0.094,1
83.5,-0.025,0.007,0.011,-1.559,-0.022,-2.82,1
89.2,-0.002,0.058,-0.008,-1.526,0.046,-1.66,2
74.8,0.007,0.027,-0.015,-1.522,0.023,2.173,1
85.8,-0.014,0.027,0,-1.523,0.003,1.355,2
96.2,-0.002,-0.01,-0.003,-1.611,-0.095,-2.691,1
97.7,-0.008,0.034,-0.049,-1.461,-0.045,-0.776,2
91,0.009,-0.017,-0.032,-1.582,-0.028,-1.389,2
89.2,-0.026,0.005,0.032,-1.59,0.022,-0.418,2
97.7,-0.001,0.014,0.013,-1.564,0.013,0.056,1
83.1,-0.025,0.013,-0.006,-1.521,0,2.956,2
95.1,0.005,-0.017,0.004,-1.548,0.028,-0.799,2
99.2,0.013,-0.008,0.006,-1.61,-0.003,-2.929,2
114.2,-0.016,-0.305,-0.005,-1.627,-0.292,-0.507,2
91.4,-0.009,-0.002,-0.025,-1.568,0.056,0.217,1
130.8,-0.06,-0.003,0.008,-1.551,-0.034,0.362,2
46.2,-0.023,0,-0.009,-1.516,0.049,-1.141,2
97.1,-0.012,-0.019,0.03,-1.532,0.02,-0.95,1
143.9,-0.025,-0.004,-0.028,-1.511,0.012,2.909,2
97.7,-0.009,-0.028,0.008,-1.578,-0.041,-0.206,2
94.1,-0.026,0.035,0.001,-1.588,-0.058,-2.725,1
97.5,-0.04,-0.002,0.012,-1.509,0.001,0.825,2
113.5,0.049,0,-0.057,-1.484,-0.053,-0.167,2
104,-0.038,-0.026,-0.011,-1.537,-0.071,0.77,2
85.7,-0.01,-0.001,0.017,-1.592,-0.021,-1.022,2
84.1,0.017,0.005,0.002,-1.515,-0.01,0.875,1
89.5,-0.014,0.033,-0.033,-1.539,-0.002,1.382,1
105.9,-0.066,0.016,-0.009,-1.513,-0.029,-2.63,1
100.2,-0.057,0.007,0.007,-1.615,0.035,2.94,2
73.5,-0.01,0.015,-0.021,-1.594,0.013,-0.097,1
92.4,-0.005,-0.025,0.017,-1.526,-0.036,-1.336,2
109.8,-0.013,0.021,-0.016,-1.534,0.028,1.19,2
88.5,-0.028,0.016,-0.021,-1.544,0.02,0.092,1
108.9,-0.019,0.001,0.003,-1.51,0.004,2.366,1
80.5,-0.003,0.012,-0.005,-1.562,0.002,-0.159,2
54.5,-0.018,-0.195,-0.208,-1.817,0.072,2.357,2
82.8,0.003,0.009,0.001,-1.581,0.065,0.333,1
85.8,-0.013,-0.035,0.003,-1.572,0.038,-0.168,2
109.8,-0.037,0.036,-0.024,-1.506,0.015,-1.751,2
79.8,0.004,0.028,0.009,-1.547,-0.033,1.968,2
73.6,-0.003,-0.124,0,-1.604,0.085,-1.933,1
117.8,-0.092,-0.303,-0.146,-1.691,-0.309,-0.725,2
93.3,-0.021,-0.03,-0.026,-1.599,-0.047,-0.305,2
90.9,-0.003,-0.013,0.02,-1.561,0.009,-1.061,2
103.8,-0.01,-0.005,0,-1.559,-0.015,-0.826,1
47,-0.017,0.019,0.004,-1.598,0.216,1.182,2
90.1,-0.024,0.012,0,-1.556,0.034,0.871,2
78.5,0.009,-0.026,0.009,-1.553,0.001,-1.025,2
88.4,0.033,-0.014,-0.031,-1.53,0.007,-0.499,2
85.9,-0.115,-0.402,-0.098,-1.705,-0.445,-0.481,2
83.7,-0.01,-0.023,-0.013,-1.555,-0.011,1.973,2
88.6,0.004,-0.024,-0.015,-1.49,0.017,0.559,2
92.7,0.007,-0.004,-0.008,-1.514,-0.011,1.759,1
104.9,-0.015,-0.051,0.003,-1.498,0.006,-1.883,2
92.9,-0.037,-0.028,0.006,-1.582,-0.038,-0.261,2
58.7,0.02,0.003,0.03,-1.517,-0.005,2.211,1
126.1,-0.052,-0.363,0.012,-1.573,-0.358,-0.41,2
137.1,0.078,-0.022,0.024,-1.578,0.051,2.954,2
114.3,-0.028,-0.043,0.004,-1.515,-0.046,-0.938,2
80.5,0.001,0.007,0.02,-1.552,0.017,-2.568,2
75.6,-0.018,0.002,0.02,-1.6,0.005,0.007,1
112.4,0.023,-0.026,-0.008,-1.585,-0.036,0.414,2
105.3,-0.004,-0.01,0.006,-1.557,-0.002,-2.711,1
87.8,0.016,-0.011,-0.009,-1.575,-0.038,-0.833,1
97.1,0.018,-0.045,0.009,-1.6,-0.003,0.228,2
91.6,-0.011,0.002,-0.007,-1.528,0.025,0.092,1
98.1,0,-0.034,0.004,-1.586,-0.031,1.47,1
77.4,-0.004,0.007,-0.035,-1.52,-0.005,-0.815,1
111.2,0.055,0.022,0.005,-1.525,0.005,-0.805,1
96.7,-0.071,0.01,-0.003,-1.512,0.038,-1.716,2
91.3,0.012,-0.005,0.016,-1.586,0,-0.07,2
89.5,-0.017,0.011,-0.019,-1.526,-0.025,1.038,1
130.2,-0.027,-0.006,0.006,-1.549,0.013,0.418,2
110.6,-0.013,0.007,-0.005,-1.552,0.013,2.032,2
98.4,-0.017,0.043,-0.016,-1.516,-0.012,1.381,2
121.4,-0.074,-0.262,-0.141,-1.684,-0.322,-0.724,2
114.7,0.047,-0.016,0.016,-1.55,0.003,2.653,1
